# ra dec fovra fovdec n 
50.18362 39.00000 1.00 1.00 151 
51.47038 39.00000 1.00 1.00 152 
52.75714 39.00000 1.00 1.00 153 
54.04390 39.00000 1.00 1.00 154 
55.33066 39.00000 1.00 1.00 155 
56.61742 39.00000 1.00 1.00 156 
57.90418 39.00000 1.00 1.00 157 
59.19094 39.00000 1.00 1.00 158 
60.47770 39.00000 1.00 1.00 159 
61.76446 39.00000 1.00 1.00 160 
63.05122 39.00000 1.00 1.00 161 
64.33798 39.00000 1.00 1.00 162 
65.62474 39.00000 1.00 1.00 163 
66.91150 39.00000 1.00 1.00 164 
68.19826 39.00000 1.00 1.00 165 
69.48502 39.00000 1.00 1.00 166 
50.91088 40.00000 1.00 1.00 167 
52.21629 40.00000 1.00 1.00 168 
53.52170 40.00000 1.00 1.00 169 
54.82711 40.00000 1.00 1.00 170 
56.13251 40.00000 1.00 1.00 171 
57.43792 40.00000 1.00 1.00 172 
58.74333 40.00000 1.00 1.00 173 
60.04874 40.00000 1.00 1.00 174 
61.35414 40.00000 1.00 1.00 175 
62.65955 40.00000 1.00 1.00 176 
63.96496 40.00000 1.00 1.00 177 
65.27036 40.00000 1.00 1.00 178 
66.57577 40.00000 1.00 1.00 179 
67.88118 40.00000 1.00 1.00 180 
69.18659 40.00000 1.00 1.00 181 
50.35049 41.00000 1.00 1.00 182 
51.67551 41.00000 1.00 1.00 183 
53.00052 41.00000 1.00 1.00 184 
54.32553 41.00000 1.00 1.00 185 
55.65055 41.00000 1.00 1.00 186 
56.97556 41.00000 1.00 1.00 187 
58.30057 41.00000 1.00 1.00 188 
59.62558 41.00000 1.00 1.00 189 
60.95060 41.00000 1.00 1.00 190 
62.27561 41.00000 1.00 1.00 191 
63.60062 41.00000 1.00 1.00 192 
64.92564 41.00000 1.00 1.00 193 
66.25065 41.00000 1.00 1.00 194 
67.57566 41.00000 1.00 1.00 195 
68.90068 41.00000 1.00 1.00 196 
51.13404 42.00000 1.00 1.00 197 
52.47968 42.00000 1.00 1.00 198 
53.82531 42.00000 1.00 1.00 199 
55.17094 42.00000 1.00 1.00 200 
56.51657 42.00000 1.00 1.00 201 
57.86221 42.00000 1.00 1.00 202 
59.20784 42.00000 1.00 1.00 203 
60.55347 42.00000 1.00 1.00 204 
61.89911 42.00000 1.00 1.00 205 
63.24474 42.00000 1.00 1.00 206 
64.59037 42.00000 1.00 1.00 207 
65.93600 42.00000 1.00 1.00 208 
67.28164 42.00000 1.00 1.00 209 
68.62727 42.00000 1.00 1.00 210 
69.97290 42.00000 1.00 1.00 211 
50.59112 43.00000 1.00 1.00 212 
51.95844 43.00000 1.00 1.00 213 
53.32577 43.00000 1.00 1.00 214 
54.69310 43.00000 1.00 1.00 215 
56.06043 43.00000 1.00 1.00 216 
57.42775 43.00000 1.00 1.00 217 
58.79508 43.00000 1.00 1.00 218 
60.16241 43.00000 1.00 1.00 219 
61.52974 43.00000 1.00 1.00 220 
62.89706 43.00000 1.00 1.00 221 
64.26439 43.00000 1.00 1.00 222 
65.63172 43.00000 1.00 1.00 223 
66.99905 43.00000 1.00 1.00 224 
68.36637 43.00000 1.00 1.00 225 
69.73370 43.00000 1.00 1.00 226 
50.04589 44.00000 1.00 1.00 227 
51.43605 44.00000 1.00 1.00 228 
52.82622 44.00000 1.00 1.00 229 
54.21638 44.00000 1.00 1.00 230 
55.60654 44.00000 1.00 1.00 231 
56.99671 44.00000 1.00 1.00 232 
58.38687 44.00000 1.00 1.00 233 
59.77703 44.00000 1.00 1.00 234 
61.16720 44.00000 1.00 1.00 235 
62.55736 44.00000 1.00 1.00 236 
63.94753 44.00000 1.00 1.00 237 
65.33769 44.00000 1.00 1.00 238 
66.72785 44.00000 1.00 1.00 239 
68.11802 44.00000 1.00 1.00 240 
69.50818 44.00000 1.00 1.00 241 
50.91169 45.00000 1.00 1.00 242 
52.32590 45.00000 1.00 1.00 243 
53.74012 45.00000 1.00 1.00 244 
55.15433 45.00000 1.00 1.00 245 
56.56854 45.00000 1.00 1.00 246 
57.98276 45.00000 1.00 1.00 247 
59.39697 45.00000 1.00 1.00 248 
60.81118 45.00000 1.00 1.00 249 
62.22540 45.00000 1.00 1.00 250 
63.63961 45.00000 1.00 1.00 251 
65.05382 45.00000 1.00 1.00 252 
66.46804 45.00000 1.00 1.00 253 
67.88225 45.00000 1.00 1.00 254 
69.29646 45.00000 1.00 1.00 255 
50.38448 46.00000 1.00 1.00 256 
51.82404 46.00000 1.00 1.00 257 
53.26359 46.00000 1.00 1.00 258 
54.70315 46.00000 1.00 1.00 259 
56.14271 46.00000 1.00 1.00 260 
57.58226 46.00000 1.00 1.00 261 
59.02182 46.00000 1.00 1.00 262 
60.46137 46.00000 1.00 1.00 263 
61.90093 46.00000 1.00 1.00 264 
63.34049 46.00000 1.00 1.00 265 
64.78004 46.00000 1.00 1.00 266 
66.21960 46.00000 1.00 1.00 267 
67.65916 46.00000 1.00 1.00 268 
69.09871 46.00000 1.00 1.00 269 
51.31977 47.00000 1.00 1.00 270 
52.78605 47.00000 1.00 1.00 271 
54.25233 47.00000 1.00 1.00 272 
55.71861 47.00000 1.00 1.00 273 
57.18489 47.00000 1.00 1.00 274 
58.65117 47.00000 1.00 1.00 275 
60.11745 47.00000 1.00 1.00 276 
61.58373 47.00000 1.00 1.00 277 
63.05000 47.00000 1.00 1.00 278 
64.51628 47.00000 1.00 1.00 279 
65.98256 47.00000 1.00 1.00 280 
67.44884 47.00000 1.00 1.00 281 
68.91512 47.00000 1.00 1.00 282 
50.81220 48.00000 1.00 1.00 283 
52.30668 48.00000 1.00 1.00 284 
53.80116 48.00000 1.00 1.00 285 
55.29563 48.00000 1.00 1.00 286 
56.79011 48.00000 1.00 1.00 287 
58.28459 48.00000 1.00 1.00 288 
59.77906 48.00000 1.00 1.00 289 
61.27354 48.00000 1.00 1.00 290 
62.76802 48.00000 1.00 1.00 291 
64.26249 48.00000 1.00 1.00 292 
65.75697 48.00000 1.00 1.00 293 
67.25144 48.00000 1.00 1.00 294 
68.74592 48.00000 1.00 1.00 295 
50.30035 49.00000 1.00 1.00 296 
51.82460 49.00000 1.00 1.00 297 
53.34886 49.00000 1.00 1.00 298 
54.87311 49.00000 1.00 1.00 299 
56.39736 49.00000 1.00 1.00 300 
57.92162 49.00000 1.00 1.00 301 
59.44587 49.00000 1.00 1.00 302 
60.97012 49.00000 1.00 1.00 303 
62.49438 49.00000 1.00 1.00 304 
64.01863 49.00000 1.00 1.00 305 
65.54288 49.00000 1.00 1.00 306 
67.06714 49.00000 1.00 1.00 307 
68.59139 49.00000 1.00 1.00 308 
